GENE	UC
HPGDS	0.06829
AKT1S1	0.068454
PHF5A	0.068504
HIST1H2BG	0.068517
MRPS31	0.068529
ZYX	0.068546
PIWIL2	0.068634
ALDH1L1	0.068638
PROCA1	0.06867
BSDC1	0.068742
FTSJ3	0.068789
KLHDC4	0.068812
CCL11	0.068832
ABHD14A	0.068882
THAP9	0.069064
SLC7A2	0.069066
TXNL4A	0.069087
DNASE2	0.069113
ZNF600	0.06916
ZNF512B	0.069168
PSMC5	0.069181
DUSP7	0.069194
SLC26A8	0.069305
TBC1D5	0.069333
DIXDC1	0.069428
LTBR	0.069434
ARHGEF2	0.069436
IMPA1	0.069481
LDLRAD4	0.069482
CDKN1B	0.06949
ABHD13	0.069532
SLC17A4	0.069574
DDX42	0.0697
TRIO	0.069708
TWIST1	0.069729
RPS6KB1	0.069749
SNX7	0.069766
ICAM3	0.069826
MAST3	0.06986
SYNM	0.069862
PCF11	0.069869
SERTAD3	0.069884
EIF4ENIF1	0.069912
NHP2	0.069962
TMEM120B	0.06997
CSRNP1	0.070004
PLCB1	0.070109
TLL1	0.070132
VPS28	0.070208
COX20	0.070231
WDR86	0.070352
HIRIP3	0.070363
ABCA6	0.070372
PTGER1	0.070379
RPS11	0.070381
HIST1H3C	0.07042
ZNF608	0.070421
GCDH	0.070434
ATP6V1H	0.070442
ZNF516	0.070451
PLD3	0.070534
CD109	0.070536
ALDH2	0.070541
WDR83OS	0.070543
RPL21	0.070555
MSRB2	0.070634
ZNF324	0.070694
TECPR1	0.070726
SCUBE1	0.070761
KIAA1211	0.070776
CHD4	0.070812
RASD2	0.070866
DYSF	0.070881
SAA2	0.070899
LILRB2	0.070918
EDNRA	0.070928
FSIP1	0.070928
GBP2	0.070931
YBX2	0.070945
CD8B	0.07097
COL8A1	0.070975
TRAPPC9	0.07102
KIF13B	0.071246
SFRP2	0.071254
TRAM2	0.071304
MTO1	0.071352
DEPTOR	0.07139
RAVER1	0.071432
ZC3H7B	0.071459
ACLY	0.071462
SUPT7L	0.071473
NDUFB3	0.071571
SLC28A3	0.071671
BMS1P20	0.071678
TYROBP	0.071714
LMNA	0.071731
PARG	0.071735
PCBP3	0.071768
C3orf35	0.071865
MYO6	0.071868
NFIA	0.07195
ZNF667	0.071968
FAM35A	0.072127
ALG1L	0.072128
MYBPC2	0.072163
MUTYH	0.072194
TMEM143	0.072223
ZNF574	0.072456
GRIA4	0.07254
CATSPER3	0.072608
TPO	0.07272
CCDC170	0.072881
RBPMS	0.072901
PRPF8	0.07294
AMBP	0.073022
C16orf62	0.073027
ZBTB49	0.073042
NOSIP	0.073065
MEF2BNB	0.073157
ISG20	0.073161
RAPGEF2	0.073219
R3HDM4	0.073286
CAPN9	0.073297
ETFDH	0.073333
TEKT4	0.073368
SART1	0.073372
CCDC28A	0.073401
EED	0.073516
BMP7	0.073529
PTGIS	0.073568
INTS6	0.073575
CAMTA1	0.073681
MSRB3	0.073685
SUCO	0.073688
SERPINE1	0.073703
PPP1R3B	0.073718
METTL16	0.073723
APP	0.073753
PRKCDBP	0.073825
LDLRAP1	0.073858
ITIH4	0.07394
ETV3	0.073952
NUDT21	0.073978
MASTL	0.074005
INTS12	0.07419
LIN54	0.074295
KLF3	0.074382
ZNF324B	0.074405
MOAP1	0.074431
KDM5B	0.074511
CRTC2	0.074514
PTGES3L	0.074617
POLR2I	0.074747
HIST1H1D	0.074914
SMARCD2	0.074995
TRAF3	0.075004
EGLN3	0.075013
GRK5	0.075087
TNFRSF12A	0.075088
DENND4B	0.075122
ZNF589	0.075145
SH3BP1	0.075202
PIP5K1B	0.075224
WIPF1	0.075327
PDE10A	0.075505
LTA4H	0.075557
MMP10	0.075579
DLEU7	0.075647
IL22	0.075745
FAM126B	0.075756
COL15A1	0.075908
FBN1	0.075941
HIST1H4B	0.075954
CAMK2G	0.07596
EFHC1	0.076423
ERCC8	0.076448
GRINA	0.076455
DUSP4	0.076466
SLTM	0.076479
ARMC10	0.076509
ERP29	0.076534
ZNF248	0.076556
CMYA5	0.076602
OGFOD1	0.076669
LUZP1	0.076675
LAMTOR5	0.076778
SNRK	0.076784
FXR1	0.076791
LAG3	0.0768
ARHGAP27	0.076876
FNDC3A	0.076883
ARHGAP25	0.077041
ATL3	0.077111
SEC61A1	0.077143
PNPLA3	0.077177
LYAR	0.077184
C8orf4	0.077217
KCTD18	0.077226
FGFR3	0.077229
C8orf34	0.077255
NIPAL1	0.077313
SLC39A6	0.077346
MTF1	0.077364
TWF1	0.077405
EPHB2	0.077432
SPECC1	0.077696
TMEM246	0.077715
DCP1A	0.077744
AGMO	0.077781
ZNF497	0.077899
TEX264	0.077941
RNF152	0.077943
MORN1	0.077992
MTIF2	0.07804
THOC6	0.078061
TEF	0.078097
NOP9	0.078119
GRM8	0.078138
AKAP11	0.078165
PBX4	0.078226
PSMB5	0.078263
AHCYL1	0.078318
HSPB1	0.078346
TMEM199	0.078346
WDR31	0.078357
NDUFS4	0.078415
ATXN3	0.078455
HSD11B1L	0.078507
COL27A1	0.07851
SWAP70	0.078511
WNK2	0.078587
ZNF85	0.078647
KIF3A	0.078696
PRRG2	0.078718
RHBDD2	0.078732
SQRDL	0.078787
EFNB3	0.078832
TMEM178A	0.078841
YWHAB	0.078899
EPSTI1	0.078994
TRMT2A	0.079083
MTRNR2L7	0.079207
TMPRSS7	0.079259
PARP10	0.079345
LAMB3	0.079409
CMTM7	0.079434
MAVS	0.079501
SLC4A1AP	0.079525
POU2F2	0.079598
CORIN	0.079599
ABCA3	0.079638
RFXANK	0.079693
ABCC5	0.079751
PCNXL4	0.07981
CCNB1IP1	0.079837
GLIS2	0.079903
ZNF622	0.079963
MYCBPAP	0.08001
PDCD2L	0.080017
GPR85	0.080039
NUDT8	0.08007
LIG4	0.080094
ENOPH1	0.080126
PEX5	0.080223
MCPH1	0.080235
CLN5	0.080248
PGM5	0.08026
RNF168	0.080408
SCAF11	0.080423
CCDC112	0.080477
MNDA	0.080494
RPP40	0.080516
C3orf18	0.080523
WRB	0.080612
SLC39A4	0.080729
PCDHGA10	0.080761
ZNF132	0.08086
CCDC12	0.080904
BMS1	0.080921
PARP2	0.080988
TICRR	0.081
CCDC136	0.081025
JAKMIP1	0.081034
SIVA1	0.081088
MTHFD1L	0.08118
CEP76	0.081233
URI1	0.081433
ARHGEF38	0.081444
FUOM	0.081515
INTS7	0.08153
CASZ1	0.081638
BAG4	0.081647
HEMK1	0.081687
PRKAG1	0.081823
ATG2B	0.081827
TIMMDC1	0.081863
BNC2	0.081989
B3GALNT1	0.082015
PAEP	0.082032
ZFAT	0.082047
FRY	0.082053
GLUD1	0.082233
TSC22D4	0.082251
C1orf115	0.082391
EZH2	0.082433
PEAK1	0.08246
TMEM129	0.082467
KCNK7	0.082624
PDE2A	0.082842
TAC3	0.083063
COX7A1	0.08317
GPS2	0.083205
ZNF101	0.083257
SLX4IP	0.083284
UPK3A	0.083322
SNN	0.083369
PLA2G2D	0.08344
FCN1	0.08347
ZFP3	0.083503
SLC25A46	0.083664
SLC31A2	0.083814
PTPN13	0.083853
PKIB	0.083986
SLC39A1	0.083989
ATP2A3	0.084008
MORN3	0.084027
UBR1	0.08404
INO80E	0.084145
WNT7B	0.084165
RHOD	0.084168
MAML3	0.084224
GCSAML	0.084241
TAF11	0.08431
DOCK5	0.084346
FKTN	0.084374
NDUFS5	0.084758
SPAST	0.08478
SPAG4	0.084899
SLC38A4	0.084941
MRPL17	0.084968
ACY3	0.085064
COL4A3BP	0.08512
MED12	0.085158
ANKFY1	0.085296
DCLRE1C	0.085316
RPL13A	0.085377
MNX1	0.085498
KDM4D	0.085584
MSANTD4	0.085619
EFR3B	0.085638
CACNA2D2	0.085662
MAP7D1	0.085705
TMEM194A	0.085734
RANBP1	0.085778
MUC17	0.08579
CEP170	0.085837
TRAPPC3	0.085844
RPL36AL	0.085854
UFL1	0.085856
RPL27	0.085985
TROAP	0.086006
MAP3K7CL	0.086028
TBXAS1	0.086062
NPR2	0.086072
HBS1L	0.086134
HIBCH	0.086176
GSTCD	0.086251
GRPEL1	0.086267
CASP9	0.086338
SLC25A17	0.086368
FAM72B	0.086374
ARF4	0.086374
TGM2	0.086408
ARID3A	0.086418
DNAJC3	0.086422
NRARP	0.086432
ZNF594	0.086548
TRAF7	0.086554
ABCC1	0.086566
MYD88	0.086736
IL22RA1	0.086919
LHFPL2	0.086992
ING4	0.086999
CDYL2	0.087124
ZNF25	0.08718
DIMT1	0.0873
AHNAK2	0.087314
MARCH6	0.087375
BIN1	0.087462
ALDOC	0.087546
GID8	0.087681
CCL17	0.087807
DTX1	0.087817
CREG1	0.087882
TRPC6	0.087972
TMPO	0.087981
PPP5C	0.087993
PSMD12	0.088104
LXN	0.088121
THEM6	0.088161
ZNF394	0.088216
UBR7	0.088301
COTL1	0.088302
WFDC1	0.088318
APBB1IP	0.08832
ACIN1	0.088335
CLEC9A	0.088352
COQ10B	0.08841
XPO7	0.088411
VCAM1	0.088426
ASAH1	0.088448
ALS2	0.088462
MAPKAPK5	0.08859
ABHD6	0.088651
WWOX	0.088664
GLDN	0.088734
TMTC4	0.088804
UVSSA	0.088883
UIMC1	0.089009
CDKN3	0.089059
COG6	0.089145
SUV39H2	0.089163
ZNF385C	0.08919
EFEMP1	0.089197
PAOX	0.089265
PTGFR	0.089297
TONSL	0.08933
CDC123	0.08942
DENND6A	0.089428
IL4I1	0.089433
STRADB	0.089479
DNAJC19	0.089544
TBCA	0.089561
DTNB	0.089631
ATP2C2	0.08987
CARD8	0.089886
ACTR2	0.089974
GFM1	0.090007
ZNF789	0.090188
LMF2	0.090192
C12orf57	0.090225
GRHL2	0.090237
MYO5C	0.090315
RAB4A	0.090336
PEX7	0.090381
HSD17B11	0.090411
PTCD3	0.090449
GBP4	0.090466
KCNN1	0.090507
FAM107A	0.090575
DNAAF3	0.090671
C19orf70	0.09068
SNCG	0.090715
THBS1	0.090798
GTF2A2	0.090849
NKIRAS2	0.090901
DYNLRB2	0.090938
ACBD4	0.091006
ANGEL2	0.09109
RPL36	0.091172
DFFA	0.091188
SPTSSB	0.09124
CXCL14	0.091256
CPNE3	0.091412
CDH24	0.091431
NAP1L5	0.091451
TMEM125	0.091504
SDR42E1	0.091654
CXCL9	0.091656
SCNN1A	0.091771
BLOC1S6	0.091783
TOE1	0.091913
CDK9	0.091915
DHRS3	0.091918
XCL2	0.092021
JMJD7-PLA2G4B	0.092029
MEIS1	0.092059
CBX8	0.092077
SPR	0.092086
CACNB1	0.092106
ANLN	0.092179
CWC15	0.092212
NOP2	0.092266
AEBP1	0.092283
DNASE1L2	0.092313
TTYH1	0.092353
ALDH8A1	0.092364
PLEKHG6	0.092389
ABCC9	0.092394
ADAMTS8	0.092408
NCEH1	0.092462
GTF3C5	0.092468
EHF	0.092493
ECHS1	0.0925
C17orf62	0.092569
BRDT	0.092606
SGOL2	0.092639
GTF2A1	0.092676
ARNTL2	0.092719
RHOT1	0.092738
NUDT1	0.092776
SMAD2	0.092781
ACAA1	0.092889
ZNF334	0.092907
KREMEN1	0.092992
F2RL2	0.093033
STX17	0.09306
NPR1	0.093089
TBC1D2	0.093106
KXD1	0.093127
TTC26	0.093233
C5AR2	0.093362
FAU	0.093378
TMEM18	0.093389
MARCH3	0.093454
LIPT2	0.0936
LGALS9C	0.093645
RWDD4	0.093746
MARCH7	0.093756
NAB2	0.093848
STARD7	0.093896
ACVRL1	0.093936
EVA1C	0.094062
FST	0.094101
YARS	0.094152
IFT20	0.094187
PABPC1L	0.094191
TSN	0.094207
PRKCI	0.094323
HIST1H1A	0.09435
UPP1	0.0945
MCM9	0.094641
CINP	0.094674
ZDHHC2	0.094717
CPNE1	0.094764
ADARB1	0.094909
RBM26	0.094913
CYYR1	0.094919
POU3F2	0.09503
ESAM	0.095062
ACTR1B	0.095063
HPCAL1	0.095069
NUP98	0.095074
MTL5	0.095097
TMEM184A	0.095165
SKIV2L2	0.095196
WTAP	0.095213
NFS1	0.095215
EMP3	0.09525
PLCD3	0.095294
ORAI1	0.095313
FAM227B	0.095494
ZNF232	0.095496
A1BG	0.095501
LRTM1	0.095507
NR1D2	0.095596
KAT6A	0.095727
NRD1	0.095737
ZNF784	0.095743
KISS1R	0.09575
FRRS1L	0.095781
ASPM	0.095853
SPATS2L	0.095861
RELA	0.095973
MRVI1	0.095994
BBS12	0.096077
PRR5	0.09615
CALU	0.096182
CHMP4A	0.096195
FAM45A	0.096197
BLCAP	0.096201
AGAP2	0.096212
C8orf76	0.096322
HIRA	0.096429
POLE	0.096495
U2AF2	0.096526
TFF1	0.096614
IL1RAP	0.096615
MBD1	0.096656
RCHY1	0.096706
CHST2	0.096712
DPY30	0.096723
ALKBH6	0.096744
GPAM	0.096785
PIK3IP1	0.096866
FYTTD1	0.096886
RASGRF2	0.097024
ANO10	0.097145
ZNF580	0.097169
THAP6	0.097206
CCDC65	0.097296
OR51E1	0.097325
EIF5	0.097343
OLFML2B	0.097396
KIFC2	0.097601
MAPK13	0.097632
ATP13A1	0.097634
MNT	0.09772
NLRP7	0.097773
ZNF30	0.097812
PIK3C2B	0.097827
ANAPC16	0.097831
TTC33	0.097957
ZYG11B	0.098081
EXOC6B	0.098084
ACAP1	0.098118
MAP3K11	0.098135
ALPK2	0.098221
CHMP1B	0.098228
RBM39	0.098431
INIP	0.098664
NEDD9	0.09868
HSF2	0.098767
SRSF5	0.098774
DDIT4	0.098787
TRAK2	0.098795
ZNF343	0.098844
PCNXL3	0.098864
HECTD4	0.098886
TRIM4	0.099129
SMPD1	0.099147
PPP1CB	0.099174
MRPL1	0.099276
MCCC2	0.099329
ZMAT3	0.099334
ZNF710	0.099467
ABCD1	0.099514
MFAP3	0.099692
EEF1B2	0.099713
FANCM	0.09979
FABP4	0.099846
FLYWCH1	0.099863
HDDC2	0.099919
CYBRD1	0.099968
BDH2	0.10002
AKAP5	0.10004
AP3S1	0.10009
SNX14	0.10009
MEGF11	0.10011
RPS6KA1	0.10016
RBM19	0.10027
PTCH1	0.10028
VAMP8	0.10032
DDX55	0.10032
RAB26	0.10032
NAPEPLD	0.10034
CCL7	0.10044
TCEA3	0.10046
TMEM81	0.10051
GRB10	0.10057
SNX1	0.10063
USP6	0.10066
CR1	0.10071
IGSF9	0.10081
CNOT6L	0.10084
NEURL4	0.1009
AKR1A1	0.10091
FMNL1	0.10101
SLC46A1	0.10108
HIST1H4A	0.10112
MUC12	0.10118
MTG1	0.10121
EPDR1	0.10124
MEF2BNB-MEF2B	0.10124
PPP2CA	0.10128
BTBD10	0.10131
UBE2E1	0.10138
ZBTB39	0.10141
ABHD17C	0.10143
RER1	0.10146
DEPDC1B	0.10146
C19orf47	0.1015
EIF4E2	0.10156
STEAP1B	0.10158
TNFAIP1	0.10164
SMAD6	0.10182
NKX3-1	0.10195
ULK1	0.1021
PUS1	0.10213
CSNK1A1	0.10214
SYCE2	0.10214
SLC39A8	0.10218
ZNF675	0.10218
FAM86C1	0.10233
MAP2K6	0.10241
LRRC25	0.10252
VTI1A	0.10255
SMIM4	0.10259
ABTB2	0.10266
MIEF1	0.1027
GNAL	0.10271
DHRS1	0.1029
VPS18	0.10295
CPSF1	0.103
ZNHIT2	0.10307
COG5	0.10318
IGSF8	0.10332
TBCC	0.1034
CYHR1	0.10344
ACACA	0.10346
C14orf119	0.10354
DDX43	0.10357
LYSMD4	0.10364
GIPC3	0.10365
ANKRD36	0.10392
SSUH2	0.10397
FAM134B	0.10398
EPPK1	0.10398
ALG12	0.10402
FAM109B	0.10407
PTPRH	0.1041
RET	0.10411
SF3B1	0.10414
NIPBL	0.10415
GSTM3	0.10417
EIF3G	0.10419
DUSP3	0.1042
TACC3	0.10426
NPAT	0.10426
STARD4	0.10438
ROMO1	0.10447
CLEC4G	0.1046
DNAJC10	0.10463
LSM1	0.10465
MAN1A2	0.10481
FAHD2B	0.10484
TINAG	0.10497
FANCI	0.10499
CD3G	0.10504
CEACAM19	0.10504
EFTUD2	0.10506
MEX3A	0.1051
ZFP36	0.10517
TTC8	0.10521
ZFP69B	0.10522
UBA2	0.10522
CLHC1	0.10523
CFLAR	0.10546
UBL3	0.10546
TRIM74	0.1055
PPP2R4	0.10553
GLT8D2	0.10553
NCLN	0.10553
HIST1H2BH	0.10555
ZNF559	0.10557
POGLUT1	0.10561
FAM209B	0.10561
MBOAT1	0.10574
SH3BP4	0.10588
ST6GALNAC6	0.10596
PTPN3	0.10608
HECW1	0.10613
DNAAF2	0.10626
TG	0.10627
PATZ1	0.10631
MYBL1	0.10633
DPYSL5	0.10656
CNNM2	0.10657
DCUN1D1	0.10665
FAP	0.10673
TRPM8	0.10677
ZNF821	0.10681
ERP44	0.10682
DOLPP1	0.10693
VANGL2	0.10701
HLTF	0.10702
LSM14A	0.10704
DHODH	0.10708
DERL2	0.1071
WBP4	0.10715
ADCY9	0.10718
PAPSS1	0.10733
SVOPL	0.1074
PLEKHG3	0.10744
ISL2	0.10748
FFAR4	0.10752
MYOM3	0.10761
MICALL2	0.10773
BAG1	0.10773
JUP	0.10774
NEK8	0.10787
PRKCD	0.10793
ILF2	0.108
DLG5	0.10801
LIPG	0.10802
PARVG	0.10808
ACO2	0.10823
STK19	0.10824
POU6F1	0.10826
ANGPTL6	0.10826
HSP90AB1	0.10831
HOXA1	0.10833
FKBP9	0.10839
ABRACL	0.10856
ZNF681	0.10858
SLC27A5	0.1086
TRIM47	0.10867
SLC36A1	0.10871
RAPGEF1	0.10883
IFI35	0.10885
FOXA3	0.1089
MAPKBP1	0.10895
MAN2B1	0.10895
MIS12	0.10899
CEACAM4	0.10907
LILRA5	0.10912
AREL1	0.10914
SLC2A13	0.10916
NAA25	0.10936
CABIN1	0.10939
DNAJC22	0.10941
SEMA6A	0.10942
ZNF442	0.10942
ATP5J2	0.10943
FAM83H	0.10949
ZBTB41	0.10953
RAB15	0.1096
DPH1	0.10963
CMSS1	0.10984
LRRC59	0.11016
RBM12	0.11017
PCBP2	0.11019
TAF3	0.11027
AKIRIN1	0.11048
RAD23A	0.11053
SNX16	0.11059
PPP1R13B	0.11062
TM9SF3	0.11074
WBP2	0.11075
NLRP2	0.11079
CYP4X1	0.11081
GBP7	0.11086
TAF6L	0.11089
SYT10	0.11091
ANTXR2	0.11101
GGCX	0.11104
PLEC	0.11107
C4orf33	0.11116
SYNE4	0.11121
USP24	0.11124
ROCK1	0.11128
BCL9	0.11139
NT5C3B	0.11152
FSD1L	0.11161
FLT3LG	0.11161
NCALD	0.11163
IMMP2L	0.11167
MBTPS1	0.11168
AIMP1	0.11179
AGPAT4	0.11182
CAB39L	0.11182
SNX29	0.11183
GABRA2	0.11184
ASCL2	0.11208
REXO4	0.11209
MBIP	0.11209
FAM60A	0.11213
AHDC1	0.11236
B4GALT5	0.1124
KRT81	0.11245
E4F1	0.11247
TMEM42	0.11249
C6orf203	0.11249
SNAI3	0.11253
LPIN1	0.11258
SAP18	0.11258
C1QTNF2	0.11264
ADAMTS1	0.11264
SLC35F5	0.11267
GLT8D1	0.11268
NR4A3	0.11268
ICOS	0.11274
MLST8	0.11275
HPDL	0.11276
WNT10B	0.11277
NAGA	0.11282
CLIP3	0.11292
CHMP5	0.11311
ZNF678	0.11314
RTN4	0.1132
CHCHD5	0.11322
ELP6	0.11324
RIMKLB	0.11331
TBCK	0.11334
SCAND1	0.11342
PSMG3	0.11343
FTSJ2	0.11349
AP2A1	0.11349
CMBL	0.11354
ST8SIA4	0.11354
MN1	0.11354
PDE8A	0.11357
CAMTA2	0.1136
ZNF787	0.11361
GAS2L1	0.11368
ANXA11	0.11376
MAT2A	0.11379
CDK11B	0.11384
WDR83	0.11386
SMDT1	0.11389
CHAF1A	0.11403
PRPF4	0.11409
TBC1D24	0.11422
FAM150A	0.11427
C21orf2	0.11431
ABCA10	0.11432
MIA	0.11432
EIF3H	0.11434
NDUFA6	0.11445
SLC36A4	0.1146
PPP3CB	0.11472
CDC26	0.11477
CTBP1	0.11479
NT5DC2	0.1149
ZBTB17	0.11496
CISH	0.115
TMTC1	0.11504
LYL1	0.11522
PLEKHM2	0.11527
CETP	0.11533
FAM114A2	0.11536
TNFRSF1A	0.11536
F2R	0.11541
PRDM5	0.11546
PRPF39	0.11548
FOXC1	0.11556
LRRC8C	0.11557
TUBGCP3	0.11575
INPP5A	0.11578
SPAG5	0.11578
SEC13	0.11579
UBE2E2	0.11583
GNS	0.11593
MSR1	0.11616
ZNF567	0.11624
PHF20	0.11625
PRAP1	0.11632
GLE1	0.11633
C1orf198	0.11638
GJC3	0.11639
CRX	0.1164
CARD14	0.11643
SLC25A48	0.11644
CYB5D2	0.11644
EEF2	0.11646
ZNF253	0.11646
C2orf88	0.11653
KCNRG	0.11655
DOK2	0.11656
ZEB2	0.11661
TANGO2	0.11662
PEX14	0.1168
CLEC3B	0.11685
VAMP4	0.11686
B3GAT3	0.11691
C19orf33	0.11699
MAP3K10	0.11706
PTTG1IP	0.11707
CCDC53	0.11711
SLC35B3	0.11718
NFASC	0.1172
BMP6	0.11725
RANBP9	0.11726
RYR1	0.11726
PPAN	0.11732
ARF3	0.11735
CCNG1	0.11742
LTB4R	0.1175
CCDC114	0.11755
KIAA0226	0.11759
DSCAML1	0.11759
TENM4	0.11766
NT5DC1	0.11767
C18orf21	0.11772
MRPL49	0.11786
RPL30	0.11797
CD3D	0.118
LTV1	0.11801
HIST1H3A	0.11802
NDUFB1	0.11802
NDUFS1	0.11806
PBX3	0.11807
ZNF205	0.11809
RPS27	0.11812
SNRPN	0.11812
TMEM97	0.11816
PRKAA1	0.11825
SURF6	0.11838
POLR2C	0.11841
LAIR1	0.11847
C5orf30	0.11848
BLM	0.1186
ARL3	0.11872
IL15RA	0.11878
PPP2R2B	0.1188
S100PBP	0.11885
TTC5	0.11886
ACSM2A	0.11895
B3GALNT2	0.11896
PIEZO2	0.11898
DHRS7	0.11899
MEIG1	0.119
PRRC2C	0.11905
TMEM86B	0.11906
PBRM1	0.11918
FIGNL1	0.11918
BRD4	0.11921
FGF13	0.11924
ISOC1	0.11928
GUCA2A	0.11936
FZD3	0.11938
MSANTD1	0.11949
COL5A1	0.11952
DSTYK	0.11961
VWF	0.11964
ST6GAL1	0.11974
RFWD3	0.11983
ADAMTSL1	0.11986
GLI2	0.1199
ARHGEF10L	0.11992
TEX22	0.11995
ADIRF	0.12
SCN3A	0.12006
ACSL1	0.12012
FAM179B	0.12018
SLC2A4	0.1202
NBEAL2	0.12027
ACBD5	0.12038
GPR17	0.12041
TFF3	0.12041
ARHGAP31	0.12048
DNAJC15	0.12048
GDPGP1	0.12056
HNRNPR	0.12057
NCAPH2	0.12062
RPS6KA4	0.12064
C3orf70	0.12066
CIAPIN1	0.12068
CALY	0.12069
CLEC7A	0.12072
OXR1	0.12073
AP1G1	0.12078
C10orf55	0.12079
JTB	0.12082
CES4A	0.12084
CCDC80	0.12092
SLBP	0.12098
TRIM65	0.121
WARS2	0.12112
TRIM68	0.12114
SYNPO	0.12117
CRISPLD2	0.12118
BARX2	0.12129
MAPKAPK3	0.12137
NAV1	0.12138
TMEM150C	0.12155
MVD	0.12181
PLA2G4C	0.12181
CCDC89	0.12184
SLC37A2	0.12185
GRAP2	0.1219
CLIP1	0.12198
RASA3	0.12206
UNK	0.12206
ATXN1L	0.12211
MGA	0.12213
NR2F6	0.12214
SPTLC2	0.1222
TMEM189	0.12222
GLRX	0.12223
TMTC2	0.12226
MEAF6	0.12231
NDUFAF5	0.12231
RPRD1B	0.12241
CYP2D6	0.12261
UPF1	0.12266
SLC30A6	0.12275
KLHDC7B	0.12284
TRIM56	0.12289
TMEM201	0.12295
FAM209A	0.12297
VMO1	0.123
LIN7C	0.12303
NIN	0.12303
FILIP1L	0.12305
ADCY5	0.12307
CNGA1	0.12309
STAMBPL1	0.12329
CACNA2D3	0.12336
ATM	0.12337
DLL3	0.12337
INTS8	0.12338
C11orf65	0.12343
NAAA	0.12345
EXOSC1	0.12345
ATP6V1E2	0.12348
C3	0.12351
PDE12	0.12353
ARHGAP11A	0.12355
SETD7	0.12358
ENG	0.12358
CENPK	0.12359
CNKSR2	0.12362
ARHGAP8	0.12366
YBX3	0.1237
GNG4	0.12371
DHX29	0.12385
HILPDA	0.12387
VAMP5	0.12391
MAP9	0.12392
ODF3B	0.12393
CNIH1	0.12396
IPO5	0.12397
TNFRSF1B	0.12409
SMARCC1	0.12415
PSMD5	0.12433
FREM1	0.1244
HSDL1	0.12446
KLHL11	0.12446
DNAJC13	0.12447
NTN1	0.12457
SYVN1	0.12459
CTCFL	0.12463
U2SURP	0.12475
GP6	0.12475
DDX10	0.12477
TXNDC5	0.12484
AP5S1	0.12496
SPCS1	0.12508
ZNF687	0.12511
EIF3F	0.12512
GNPTAB	0.12512
TATDN3	0.12519
CCDC124	0.1252
DGKD	0.12528
HMG20A	0.1253
RAD54L2	0.1255
MTMR14	0.12555
EFNA2	0.1257
SPTBN5	0.12571
CHD1	0.12597
POU5F1B	0.12598
CEBPB	0.12602
PDE4D	0.12606
TRIM25	0.12612
B3GNT3	0.12616
MYH11	0.12618
ATN1	0.1262
PHKG2	0.12621
TTLL1	0.12625
TBCB	0.12626
SLAMF1	0.12629
ADAM23	0.12644
RPL7A	0.12653
PRSS1	0.12672
LIMK2	0.12688
RPL15	0.12695
LILRB5	0.12712
SLC37A3	0.12724
TCF7	0.1273
FGF9	0.1273
FNDC3B	0.12731
SPRED2	0.12733
ADCY6	0.1274
APRT	0.1274
KDELR1	0.12748
KIF1C	0.12757
PES1	0.12762
GS1-259H13.2	0.1277
PROM2	0.12783
WDYHV1	0.12786
COX5B	0.12795
LSM10	0.12799
GPC2	0.12803
PIAS4	0.12803
MGAT5	0.12806
CNN2	0.12812
RAB30	0.1282
FAM53C	0.12823
PCBP1	0.12824
ATF4	0.12825
VCPIP1	0.12826
SLC2A10	0.12828
NNMT	0.12831
DDX23	0.12843
IFFO1	0.12851
STAG3	0.12857
PTP4A3	0.1287
INTS2	0.12881
IFI6	0.12891
UBR5	0.12891
ARHGAP11B	0.12895
HMGN1	0.12895
PIGZ	0.12905
TMEM173	0.12911
C1orf228	0.12914
COL12A1	0.12927
ZNF433	0.12942
CCDC141	0.12952
KCNMB1	0.1296
TNNT1	0.12965
MAEA	0.13021
MTHFSD	0.13022
YRDC	0.13023
HMGA1	0.13026
TXNDC11	0.13031
TRPM2	0.13032
ITGA6	0.13039
COL23A1	0.13059
TMEM88	0.13064
UTP23	0.13068
STEAP3	0.13082
SUSD2	0.1309
PITPNM3	0.13091
RAD54B	0.13093
SMG9	0.13109
SH3GL1	0.1311
FARSA	0.13115
ZNF114	0.13115
EPC2	0.13131
NPHS1	0.13132
UGGT1	0.13133
CCDC9	0.13154
ZNF544	0.13172
ADTRP	0.13174
CUL5	0.13187
CCDC88B	0.1319
PTGER2	0.13191
ATAD1	0.13194
TMEM259	0.13197
ST6GALNAC1	0.13215
SEMA7A	0.13223
GATAD1	0.13235
DAZAP2	0.13245
RAB13	0.13256
URM1	0.13261
ASF1A	0.13265
PDGFC	0.13267
NOTCH2NL	0.13268
GGA1	0.13271
PM20D2	0.13273
MTR	0.13274
MAP4	0.13289
MIEF2	0.1329
ATG4C	0.13304
ARPC5	0.13306
CORO7	0.13315
SERPINB5	0.1332
DHX30	0.13324
COMMD3	0.13329
SGSH	0.13331
YIPF4	0.13332
UBE2QL1	0.13334
TLL2	0.13338
KIAA1024L	0.13358
GINS1	0.13362
PRR13	0.13373
ORC2	0.13377
SYCP3	0.1338
NUP62	0.13389
PCDH9	0.1339
EIF5A2	0.13401
BDNF-AS	0.13404
BAZ1A	0.13408
WDR91	0.1341
EPHB1	0.13419
SMARCD1	0.13422
ATG7	0.13427
MEGF8	0.13429
IST1	0.13431
ASB1	0.13434
